timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743906600.5619428,117,1/66,16,,,1/80,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,12,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/150,16,1/50,10,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906629.531184,118,1/66,16,,,1/80,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,12,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/150,16,1/50,10,,,,,1/25,11,1/100,81/5,1/20,1/6
1743906659.2993906,119,1/50,15,,,1/100,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/200,16,1/50,10,,,,,1/25,11,1/50,1/100,1/20,1/6
1743906688.2845123,120,1/50,15,,,1/100,12,1/50,12,1/50,10,1/50,12,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,13,1/50,10,1/50,10,1/200,16,1/50,10,,,,,1/25,11,1/50,1/100,1/20,1/6
1743906716.8239458,121,1/50,15,,,1/100,12,1/50,12,1/50,10,1/80,14,,,1/150,16,1/100,16,1/100,12,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,11,1/100,12,1/100,18,1/50,11,1/50,11,1/200,16,1/50,10,,,,,1/25,11,1/50,81/5,1/20,1/6
1743906806.3055568,122,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/150,16,1/100,18,1/150,14,1/50,14,1/12,23/2,1/50,12,1/40,10,1/25,11,1/25,12,1/150,14,1/100,18,1/50,11,1/50,11,1/200,16,1/100,12,,,,,1/25,11,1/50,81/5,1/20,1/6
1743906834.3311453,123,1/66,16,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/150,16,1/100,22,1/100,12,1/33,12,1/100,23/2,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,18,1/33,19/2,1/50,10,1/200,16,1/50,10,,,,,1/25,12,1/50,81/5,1/20,1/6
1743906862.8077166,124,1/66,16,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/150,16,1/100,22,1/100,12,1/33,12,1/100,23/2,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,18,1/33,19/2,1/50,10,1/200,16,1/50,10,,,,,1/25,12,1/50,81/5,1/20,1/6
1743906891.4610605,125,1/50,15,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/100,16,1/100,22,1/100,12,1/33,12,1/100,11,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,10,1/33,9,1/33,9,1/100,16,1/50,10,,,,,1/25,12,1/50,167/10,1/20,1/6
1743906920.2151034,126,1/50,15,,,1/66,11,1/40,11,1/50,10,1/40,11,,,1/100,16,1/100,22,1/100,12,1/33,12,1/100,11,1/50,12,1/33,9,1/25,12,1/25,12,1/100,12,1/50,10,1/33,9,1/33,9,1/100,16,1/50,10,,,,,1/25,12,1/50,167/10,1/20,1/6
1743906949.1853163,127,1/50,15,,,1/100,12,1/40,11,1/100,11,1/80,14,,,1/150,16,1/50,12,1/100,12,1/50,14,1/50,10,1/50,12,1/33,9,1/25,12,1/25,12,1/150,14,1/100,12,1/50,10,1/50,10,1/150,16,1/100,12,,,,,1/25,12,1/50,137/10,1/20,1/6
1743906976.9868705,128,1/50,15,,,1/100,12,1/40,11,1/100,11,1/80,14,,,1/150,16,1/50,12,1/100,12,1/50,14,1/50,10,1/50,12,1/33,9,1/25,12,1/25,12,1/150,14,1/100,12,1/50,10,1/50,10,1/150,16,1/100,12,,,,,1/25,12,1/50,137/10,1/20,1/6
1743907005.6752598,129,1/66,16,,,1/250,16,1/66,14,1/500,16,1/100,16,,,1/100,16,1/50,12,1/400,20,1/100,18,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/100,12,1/50,19,1/100,12,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/50,71/5,1/20,1/6
1743907036.4306352,130,1/66,16,,,1/250,16,1/66,14,1/500,16,1/100,16,,,1/100,16,1/50,12,1/400,20,1/100,18,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/100,12,1/50,19,1/100,12,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/50,71/5,1/20,1/6
1743907066.0292196,131,1/66,16,,,1/500,20,1/100,16,1/500,16,1/250,20,,,1/100,16,1/50,20,1/750,22,1/100,18,1/100,11,1/50,12,1/40,11,1/25,12,1/25,12,1/750,22,1/50,20,1/33,17/2,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907096.7574017,132,1/66,16,,,1/500,20,1/100,16,1/500,16,1/250,20,,,1/100,16,1/50,20,1/750,22,1/100,18,1/100,11,1/50,12,1/40,11,1/25,12,1/25,12,1/750,22,1/50,20,1/33,17/2,1/100,12,1/150,16,1/100,12,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907125.5570762,133,1/66,16,,,1/66,11,1/25,9,1/33,9,1/40,11,,,1/50,12,1/25,10,1/33,9,1/25,10,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/33,9,1/50,23/2,1/25,17/2,1/100,12,1/50,12,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907155.0002432,134,1/66,16,,,1/66,11,1/25,9,1/33,9,1/40,11,,,1/50,12,1/25,10,1/33,9,1/25,10,1/50,10,1/50,12,1/40,11,1/25,12,1/25,12,1/33,9,1/50,23/2,1/25,17/2,1/100,12,1/50,12,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907184.6178935,135,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/100,16,1/40,23/2,1/100,12,1/50,14,1/100,21/2,1/50,12,1/40,10,1/25,12,1/25,12,1/100,12,1/40,19/2,1/25,8,1/25,17/2,1/100,16,1/100,12,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907213.5524547,136,1/66,16,,,1/100,12,1/50,12,1/100,11,1/80,14,,,1/100,16,1/40,23/2,1/100,12,1/50,14,1/100,21/2,1/50,12,1/40,10,1/25,12,1/25,12,1/100,12,1/40,19/2,1/25,8,1/25,17/2,1/100,16,1/100,12,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907240.444272,137
1743907269.8302956,138,1/35,13,,,1/50,10,1/33,10,1/33,9,1/40,11,,,1/66,12,1/40,23/2,1/50,10,1/25,10,1/100,11,1/50,12,1/40,10,1/25,12,1/25,12,1/50,10,1/40,9,1/20,15/2,1/25,17/2,1/100,16,1/33,9,,,,,1/25,12,1/100,81/5,1/20,1/6
1743907300.6777594,139,1/35,13,,,1/50,10,1/33,10,1/33,9,1/40,11,,,1/66,12,1/40,23/2,1/50,10,1/25,10,1/100,11,1/50,12,1/40,10,1/25,12,1/25,12,1/50,10,1/40,9,1/20,15/2,1/25,17/2,1/100,16,1/33,9,,,,,1/25,12,1/100,81/5,1/20,1/6
1743907396.5657616,140
1743907424.9785874,141,1/30,12,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/16,15/2,1/33,9,1/14,15/2,1/100,21/2,1/50,12,1/25,15/2,1/25,12,1/25,12,1/33,9,1/18,7,1/12,13/2,1/12,13/2,1/25,9,1/33,9,,,,,1/25,12,1/100,123/10,1/20,1/6
1743907454.3078246,142,1/30,12,,,1/25,8,1/20,8,1/20,15/2,1/20,8,,,1/33,10,1/16,15/2,1/33,9,1/14,15/2,1/100,21/2,1/50,12,1/25,15/2,1/25,12,1/25,12,1/33,9,1/18,7,1/12,13/2,1/12,13/2,1/25,9,1/33,9,,,,,1/25,12,1/100,123/10,1/20,1/6
1743907483.0894806,143,1/30,12,,,1/500,20,1/66,14,1/500,16,1/250,20,,,1/33,10,1/16,18,1/400,20,1/100,18,1/100,18,1/50,12,1/25,15/2,1/25,12,1/25,12,1/400,20,1/18,18,1/100,12,1/100,12,1/25,9,1/100,12,,,,,1/25,12,1/100,1/100,1/20,1/6
1743907511.6037998,144,1/30,12,,,1/500,20,1/66,14,1/500,16,1/250,20,,,1/33,10,1/16,18,1/400,20,1/100,18,1/100,18,1/50,12,1/25,15/2,1/25,12,1/25,12,1/400,20,1/18,18,1/100,12,1/100,12,1/25,9,1/100,12,,,,,1/25,12,1/100,1/100,1/20,1/6
1743907537.6031442,145
1743907566.691936,146,1/30,12,,,1/500,20,1/66,14,1/50,10,1/250,20,,,1/33,10,1/16,18,1/100,12,1/100,14,1/100,18,1/50,12,1/50,11,1/25,12,1/25,12,1/100,12,1/18,18,1/100,12,1/100,12,1/25,9,1/100,12,,,,,1/25,12,1/100,186/25,1/20,1/6
1743907595.5173209,147,1/30,12,,,1/500,20,1/66,14,1/50,10,1/250,20,,,1/33,10,1/16,18,1/100,12,1/100,14,1/100,18,1/50,12,1/50,11,1/25,12,1/25,12,1/100,12,1/18,18,1/100,12,1/100,12,1/25,9,1/100,12,,,,,1/25,12,1/100,186/25,1/20,1/6
1743907624.5129766,148,1/66,12,,,1/500,20,1/66,14,1/50,10,1/250,20,,,1/33,10,1/16,18,1/100,12,1/50,12,1/100,18,1/50,12,1/50,11,1/25,12,1/25,12,1/50,10,1/18,18,1/100,11,1/100,12,1/25,9,1/50,10,,,,,1/25,12,1/20,1/100,1/20,1/6
1743907653.969102,149,1/66,12,,,1/500,20,1/66,14,1/50,10,1/250,20,,,1/33,10,1/16,18,1/100,12,1/50,12,1/100,18,1/50,12,1/50,11,1/25,12,1/25,12,1/50,10,1/18,18,1/100,11,1/100,12,1/25,9,1/50,10,,,,,1/25,12,1/20,1/100,1/20,1/6
1743907684.0993903,150,1/66,12,,,1/500,16,1/50,14,1/33,9,1/100,16,,,1/500,20,1/16,18,1/50,10,1/25,10,1/100,18,1/50,12,1/40,10,1/25,12,1/25,12,1/50,10,1/100,13,1/100,11,1/100,12,1/25,9,1/33,9,,,,,1/25,12,1/20,19/10,1/20,1/6
1743907713.1428516,151,1/66,16,,,1/500,16,1/50,14,1/33,9,1/100,16,,,1/500,18,1/100,16,1/50,10,1/33,12,1/100,18,1/50,12,1/40,10,1/25,12,1/25,12,1/50,10,1/100,13,1/50,11,1/50,11,1/25,9,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907742.1515176,152,1/66,16,,,1/500,16,1/50,14,1/33,9,1/100,16,,,1/500,18,1/100,16,1/50,10,1/33,12,1/100,18,1/50,12,1/40,10,1/25,12,1/25,12,1/50,10,1/100,13,1/50,11,1/50,11,1/25,9,1/33,9,,,,,1/25,12,1/100,181/10,1/20,1/6
1743907771.816756,153,1/66,16,,,1/250,16,1/50,12,1/33,9,1/100,16,,,1/500,20,1/100,16,1/33,9,1/25,10,1/100,18,1/50,12,1/40,10,1/25,12,1/25,12,1/33,10,1/100,12,1/50,11,1/50,11,1/25,9,1/33,9,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907801.0310261,154,1/66,16,,,1/250,16,1/50,12,1/33,9,1/100,16,,,1/500,20,1/100,16,1/33,9,1/25,10,1/100,18,1/50,12,1/40,10,1/25,12,1/25,12,1/33,10,1/100,12,1/50,11,1/50,11,1/25,9,1/33,9,,,,,1/25,12,1/100,19/10,1/20,1/6
1743907829.6682935,155,1/66,16,,,1/250,16,1/50,12,1/100,11,1/100,16,,,1/500,20,1/100,15,1/150,14,1/50,14,1/100,23/2,1/50,12,1/40,10,1/25,12,1/25,12,1/150,14,1/100,20,1/50,11,1/50,11,1/25,9,1/100,12,,,,,1/25,12,1/50,22,1/20,1/6
1743907858.6042275,156,1/66,16,,,1/250,16,1/50,12,1/100,11,1/100,16,,,1/500,20,1/100,15,1/150,14,1/50,14,1/100,23/2,1/50,12,1/40,10,1/25,12,1/25,12,1/150,14,1/100,20,1/50,11,1/50,11,1/25,9,1/100,12,,,,,1/25,12,1/50,22,1/20,1/6
1743907887.7543526,157,1/66,16,,,1/250,16,1/50,12,1/100,11,1/100,16,,,1/500,20,1/100,20,1/150,14,1/50,14,1/100,23/2,1/50,12,1/40,10,1/25,12,1/25,12,1/150,14,1/100,20,1/50,11,1/50,11,1/25,9,1/100,12,,,,,1/25,12,1/100,22,1/20,1/6
1743907986.2537897,158,1/66,16,,,1/250,16,1/50,12,1/100,11,1/100,16,,,1/500,20,1/100,20,1/150,14,1/50,14,1/100,23/2,1/50,12,1/40,10,1/25,12,1/25,12,1/150,14,1/100,20,1/50,11,1/50,11,1/25,9,1/100,12,,,,,1/25,12,1/100,22,1/20,1/6
1743908014.912991,159,1/100,17,,,1/500,40,1/100,16,1/1000,18,1/250,16,,,1/500,20,1/100,20,0,28,1/200,33,1/100,19,1/50,12,1/40,10,1/25,12,1/25,12,1/750,22,1/100,18,1/50,10,1/50,11,1/25,9,1/50,25,,,,,1/25,12,1/100,19/10,1/20,1/6
1743908043.8976738,160,1/100,17,,,1/500,40,1/100,16,1/1000,18,1/250,16,,,1/500,20,1/100,20,0,28,1/200,33,1/100,19,1/50,12,1/40,10,1/25,12,1/25,12,1/750,22,1/100,18,1/50,10,1/50,11,1/25,9,1/50,25,,,,,1/25,12,1/100,19/10,1/20,1/6
1743908072.9345393,161,1/50,15,,,1/500,50,1/100,16,1/200,12,1/250,50,,,1/500,20,1/100,20,1/150,14,1/100,16,1/100,20,1/50,12,1/40,10,1/25,12,1/25,12,1/150,14,1/100,45,1/50,10,1/50,11,1/25,9,1/100,25,,,,,1/25,12,1/100,1/100,1/20,1/6
1743908098.9621387,162
1743908128.1131134,163,1/50,15,,,1/500,50,1/100,16,1/200,12,1/250,50,,,1/500,20,1/100,20,1/150,14,1/100,16,1/100,19,1/50,20,1/40,10,1/25,12,1/66,25,1/150,14,1/100,40,1/50,10,1/50,11,1/25,9,1/100,12,,,,,1/66,25,1/100,19/10,1/20,1/6
1743908154.6552181,164
1743908183.7572558,165,1/400,28,,,1/500,50,1/100,16,1/200,12,1/250,50,,,1/500,20,1/100,33,1/150,14,1/100,16,1/100,18,1/50,16,1/40,10,1/66,25,1/50,22,1/150,14,1/100,40,1/50,10,1/50,11,1/25,9,1/100,25,,,,,1/66,25,1/100,1/100,1/20,1/6
1743908210.669859,166
1743908240.590642,167,1/400,28,,,1/500,50,1/100,16,1/200,12,1/250,50,,,1/500,20,1/100,35,1/150,14,1/100,16,1/100,20,1/50,20,1/40,10,1/66,25,1/50,22,1/150,14,1/100,40,1/50,10,1/50,11,1/25,9,1/16,13/2,,,,,1/66,25,1/100,1/100,1/20,1/6
1743908271.1189187,168,1/400,28,,,1/500,50,1/100,16,1/200,12,1/250,50,,,1/500,20,1/100,35,1/150,14,1/100,16,1/100,20,1/50,20,1/40,10,1/66,25,1/50,22,1/150,14,1/100,40,1/50,10,1/50,11,1/25,9,1/16,13/2,,,,,1/66,25,1/100,1/100,1/20,1/6
1743908299.4627967,169,28,,50,16,12,50,,20,35,14,16,35,20,10,25,22,14,40,10,11,9,13/2,,,25,1/100,1/6
1743908328.2024536,170,28,,50,16,12,50,,20,35,14,16,35,20,10,25,22,14,40,10,11,9,13/2,,,25,1/100,1/6
1743908358.059405,171,28,,50,16,12,50,,20,35,14,16,35,20,10,25,22,14,40,10,11,9,13/2,,,25,1/100,1/6
1743908387.5321572,172,28,,50,16,12,50,,20,35,14,16,35,20,10,25,22,14,40,10,11,9,13/2,,,25,1/100,1/6
1743908416.0654085,173
1743908444.8629694,174
1743908473.5394897,175
1743908501.5784352,176
1743908603.2502449,177
1743908632.9379957,178
1743908663.73643,179
1743908689.897348,180
1743908719.3064356,181
1743908748.3422198,182
1743908774.9771678,183
1743908803.78723,184
1743908833.3994572,185
1743908862.4134908,186
1743908891.6337328,187
1743908921.7642238,188
1743908947.5551693,189
1743908976.1840289,190
1743909005.086097,191
1743909034.7474694,192
1743909060.7958336,193
1743909090.4013133,194
1743909119.2292347,195
1743909226.4100223,196
1743909255.5452042,197
1743909284.6349595,198
1743909310.5523746,199
1743909339.474714,200
1743909365.4475539,201
1743909394.2099817,202
1743909422.9032419,203
1743909452.252159,204
1743909481.7696946,205
1743909510.0872216,206
1743909540.0624225,207
1743909569.639241,208
1743909598.1052456,209
1743909627.3379035,210
1743909655.9907107,211
1743909684.3933103,212
1743909712.775433,213
1743909738.8273478,214
1743909840.6902754,215
1743909868.842328,216
1743909897.2689,217
1743909926.3748324,218
1743909955.2659082,219
1743909981.3568358,220
1743910007.660182,221
1743910036.0544872,222
1743910061.8696141,223
1743910090.2176986,224
1743910118.3936012,225
1743910147.4319217,226
1743910176.2910538,227
1743910204.9693134,228
1743910233.478074,229
1743910262.5319178,230
1743910293.103,231
1743910322.3172948,232
1743910348.6863987,233
1743910450.3019073,234
1743910478.5990844,235
1743910506.7837906,236
1743910535.605215,237
1743910564.4340954,238
1743910593.015311,239
1743910621.3765082,240
1743910649.9032593,241
1743910678.5938644,242
1743910704.4213486,243
1743910733.9089217,244
1743910764.1234512,245
1743910792.2682228,246
1743910820.6781545,247
1743910849.241104,248
1743910878.373106,249
1743910904.7979195,250
1743910934.1262114,251
1743910962.472733,252
1743911064.6931353,253
1743911093.2477736,254
1743911121.4648948,255
1743911149.3453736,256
1743911178.0047557,257
1743911207.6545746,258
1743911236.3408728,259
1743911265.0156057,260
1743911293.5846949,261
1743911322.4044206,262
1743911348.4123888,263
1743911374.8074732,264
1743911403.6861477,265
1743911429.6849587,266
1743911458.7876732,267
1743911489.4285843,268
1743911519.5707994,269
1743911546.312724,270
1743911576.179327,271
1743911678.3168411,272
1743911709.2394576,273
1743911738.100074,274
1743911766.8038743,275
1743911795.4043405,276
1743911825.987872,277
1743911854.5697792,278
1743911884.2946477,279
1743911913.3613002,280
1743911946.4238038,281
1743911977.164671,282
1743912005.8729084,283
1743912031.9781196,284
1743912061.5220263,285
1743912090.1046972,286
1743912119.0421064,287
1743912144.9597342,288
1743912174.7751532,289
1743912204.3318794,290
1743912306.9731672,291
1743912332.872886,292
1743912361.6162143,293
1743912390.1065807,294
1743912418.865943,295
1743912447.6534603,296
1743912476.1709318,297
1743912504.7192955,298
1743912533.763335,299