timestamp,num,Fulham,Draw,Liverpool
1743945076.6147835,0,33/10,5/2,13/12
1743945107.3303945,1,33/10,5/2,13/12
1743945137.052284,2,33/10,5/2,11/10
1743945169.157135,3,33/10,5/2,11/10
1743945216.5203676,4,17/2,4/1,11/10
1743945244.8968115,5,8/1,4/1,13/12
1743945273.1826975,6,17/2,17/4,13/12
1743945301.9507637,7,17/2,4/1,13/12
1743945329.8976505,8,9/1,4/1,1/1
1743945358.006995,9,9/1,4/1,19/20
1743945385.9708257,10,9/1,4/1,19/20
1743945413.8214784,11,9/1,4/1,19/20
1743945441.5670183,12,9/1,4/1,19/20
1743945469.9304907,13,9/1,4/1,19/20
1743945498.2768576,14,9/1,4/1,19/20
1743945533.7135112,15,9/1,4/1,2/5
1743945561.484294,16,9/1,4/1,2/5
1743945589.2443142,17,9/1,4/1,2/5
1743945618.3599148,18,9/1,4/1,2/5
1743945703.7658143,19,9/1,4/1,2/5
1743945732.135969,20,9/1,4/1,2/5
1743945759.6783404,21,9/1,4/1,11/10
1743945787.4216547,22,9/1,15/4,6/5
1743945816.4633634,23,9/1,15/4,6/4
1743945845.3261409,24,8/1,15/4,6/4
1743945872.9475634,25,8/1,15/4,6/5
1743945900.717934,26,8/1,15/4,6/5
1743945928.8829503,27,8/1,15/4,23/20
1743945957.0297494,28,17/5,21/10,23/20
1743945984.8152316,29,17/5,9/4,23/20
1743946013.598676,30,17/5,21/10,23/20
1743946041.9713657,31,17/5,85/40,23/20
1743946070.8224084,32,10/3,21/10,9/8
1743946098.954489,33,13/4,21/10,15/13
1743946126.7704642,34,16/5,21/10,15/13
1743946154.8752,35,16/5,21/10,15/13
1743946183.5705512,36,16/5,21/10,15/13
1743946211.5746076,37,16/5,9/4,13/11
1743946313.2036445,38,16/5,9/4,5/4
1743946341.3092892,39,16/5,12/5,7/2
1743946369.625838,40,16/5,12/5,7/2
1743946405.1774404,41,16/5,5/2,7/2
1743946432.8284364,42,16/5,13/5,7/2
1743946460.9669948,43,16/5,13/5,7/2
1743946490.8154297,44,3/1,5/2,7/2
1743946518.3307636,45,3/1,5/2,7/2
1743946545.703233,46,30/29,5/2,7/2
1743946572.8477654,47,30/29,49/20,17/5
1743946601.4634368,48,30/29,27/11,10/3
1743946632.235738,49,30/29,19/4,10/1
1743946660.405682,50,30/29,11/2,12/1
1743946689.698522,51,20/21,6/1,13/1
1743946717.6372368,52,20/21,6/1,13/1
1743946745.398548,53,10/11,11/2,12/1
1743946775.2538521,54,5/6,5/1,11/1
1743946802.7482505,55,5/6,5/1,11/1
1743946831.0939932,56,3/10,11/2,11/1
1743946933.7505877,57,3/10,5/1,11/1
1743946961.4828434,58,3/10,5/1,11/1
1743946989.3187876,59,3/10,5/1,11/1
1743947018.2795944,60,3/10,5/1,11/1
1743947046.6569746,61,3/10,5/1,11/1
1743947074.878662,62,2/7,5/1,11/1
1743947104.1559994,63,2/7,5/1,11/1
1743947132.3575556,64,2/7,26/5,11/1
1743947160.1595936,65,2/7,26/5,11/1
1743947188.5575047,66,27/100,11/2,12/1
1743947216.439029,67,27/100,11/2,12/1
1743947244.5596323,68,27/100,11/2,12/1
1743947272.728773,69,27/100,11/2,12/1
1743947300.8418403,70,27/100,11/2,12/1
1743947328.9844856,71,27/100,11/2,14/1
1743947358.6032932,72,27/100,11/2,14/1
1743947387.288199,73,1/4,11/2,14/1
1743947417.1011717,74,1/4,11/2,14/1
1743947445.2501273,75,2/7,11/2,14/1
1743947547.5005026,76,2/7,11/2,12/1
1743947575.1842678,77,2/7,11/2,12/1
1743947603.4108183,78,2/7,11/2,12/1
1743947631.0247808,79,2/7,11/2,12/1
1743947658.6731565,80,2/7,11/2,12/1
1743947686.6268206,81,2/7,26/5,12/1
1743947714.3399253,82,2/7,26/5,12/1
1743947742.1377373,83,2/7,26/5,12/1
1743947770.3856518,84,2/7,26/5,12/1