timestamp,num,B3 - Vaclav Hruska,B3 - Petr Vojtech,SK - Vaclav Hruska,SK - Petr Vojtech,PP - Vaclav Hruska,PP - Petr Vojtech,WH - Vaclav Hruska,WH - Petr Vojtech,EE - Vaclav Hruska,EE - Petr Vojtech,FB - Vaclav Hruska,FB - Petr Vojtech,VC - Vaclav Hruska,VC - Petr Vojtech,LD - Vaclav Hruska,LD - Petr Vojtech,UN - Vaclav Hruska,UN - Petr Vojtech,SX - Vaclav Hruska,SX - Petr Vojtech,FR - Vaclav Hruska,FR - Petr Vojtech,KN - Vaclav Hruska,KN - Petr Vojtech,BY - Vaclav Hruska,BY - Petr Vojtech,OE - Vaclav Hruska,OE - Petr Vojtech,S6 - Vaclav Hruska,S6 - Petr Vojtech,PUP - Vaclav Hruska,PUP - Petr Vojtech,SI - Vaclav Hruska,SI - Petr Vojtech,LS - Vaclav Hruska,LS - Petr Vojtech,QN - Vaclav Hruska,QN - Petr Vojtech,WA - Vaclav Hruska,WA - Petr Vojtech,CE - Vaclav Hruska,CE - Petr Vojtech,N4 - Vaclav Hruska,N4 - Petr Vojtech,G5 - Vaclav Hruska,G5 - Petr Vojtech,VT - Vaclav Hruska,VT - Petr Vojtech,AKB - Vaclav Hruska,AKB - Petr Vojtech,BF - Vaclav Hruska,BF - Petr Vojtech,B3 - Vaclav Hruska (decimal),B3 - Petr Vojtech (decimal),SK - Vaclav Hruska (decimal),SK - Petr Vojtech (decimal),PP - Vaclav Hruska (decimal),PP - Petr Vojtech (decimal),WH - Vaclav Hruska (decimal),WH - Petr Vojtech (decimal),EE - Vaclav Hruska (decimal),EE - Petr Vojtech (decimal),FB - Vaclav Hruska (decimal),FB - Petr Vojtech (decimal),VC - Vaclav Hruska (decimal),VC - Petr Vojtech (decimal),LD - Vaclav Hruska (decimal),LD - Petr Vojtech (decimal),UN - Vaclav Hruska (decimal),UN - Petr Vojtech (decimal),SX - Vaclav Hruska (decimal),SX - Petr Vojtech (decimal),FR - Vaclav Hruska (decimal),FR - Petr Vojtech (decimal),KN - Vaclav Hruska (decimal),KN - Petr Vojtech (decimal),BY - Vaclav Hruska (decimal),BY - Petr Vojtech (decimal),OE - Vaclav Hruska (decimal),OE - Petr Vojtech (decimal),S6 - Vaclav Hruska (decimal),S6 - Petr Vojtech (decimal),PUP - Vaclav Hruska (decimal),PUP - Petr Vojtech (decimal),SI - Vaclav Hruska (decimal),SI - Petr Vojtech (decimal),LS - Vaclav Hruska (decimal),LS - Petr Vojtech (decimal),QN - Vaclav Hruska (decimal),QN - Petr Vojtech (decimal),WA - Vaclav Hruska (decimal),WA - Petr Vojtech (decimal),CE - Vaclav Hruska (decimal),CE - Petr Vojtech (decimal),N4 - Vaclav Hruska (decimal),N4 - Petr Vojtech (decimal),G5 - Vaclav Hruska (decimal),G5 - Petr Vojtech (decimal),VT - Vaclav Hruska (decimal),VT - Petr Vojtech (decimal),AKB - Vaclav Hruska (decimal),AKB - Petr Vojtech (decimal),BF - Vaclav Hruska (decimal),BF - Petr Vojtech (decimal),Vaclav Hruska (best odds),Vaclav Hruska (best providers),Petr Vojtech (best odds),Petr Vojtech (best providers),total_probability,minimum_return_1000_GBP
1743943271.447013,0,,,,,,,,,,,,,,,3/4,10/11,,,,,,,,,,,21/50,13/8,,,,,,,,,,,,,3/4,10/11,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5238095238095238,,,,,,,,,,,0.704225352112676,0.38095238095238093,,,,,,,,,,,,,0.5714285714285714,0.5238095238095238,,,,,,,,,,,0.5714285714285714,LD-CE,0.38095238095238093,OE,0.9523809523809523,1050.0
1743943301.797562,1,,,,,,,,,,,,,,,3/4,10/11,,,,,,,,,,,4/5,9/10,,,,,,,,,,,,,3/4,10/11,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5238095238095238,,,,,,,,,,,0.5555555555555556,0.5263157894736842,,,,,,,,,,,,,0.5714285714285714,0.5238095238095238,,,,,,,,,,,0.5555555555555556,OE,0.5238095238095238,LD-CE,1.0793650793650795,926.46
1743943332.414405,2,,,,,,,,,,,,,,,10/11,3/4,,,,,,,,,,,9/10,4/5,,,,,,,,,,,,,7/10,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5238095238095238,0.5714285714285714,,,,,,,,,,,0.5263157894736842,0.5555555555555556,,,,,,,,,,,,,0.5882352941176471,1.0,,,,,,,,,,,0.5238095238095238,LD,0.5555555555555556,OE,1.0793650793650795,926.46
1743943363.948003,3,,,,,,,,,,,,,,,3/4,10/11,,,,,,,,,,,4/5,9/10,,,,,,,,,,,,,1,7/10,,,,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.5238095238095238,,,,,,,,,,,0.5555555555555556,0.5263157894736842,,,,,,,,,,,,,1.0,0.5882352941176471,,,,,,,,,,,0.5555555555555556,OE,0.5238095238095238,LD,1.0793650793650795,926.46
1743943394.6121523,4,,,,,,,,,,,,,,,2/5,13/8,,,,,,,,,,,4/5,9/10,,,,,,,,,,,,,2/5,13/8,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.38095238095238093,,,,,,,,,,,0.5555555555555556,0.5263157894736842,,,,,,,,,,,,,0.7142857142857143,0.38095238095238093,,,,,,,,,,,0.5555555555555556,OE,0.38095238095238093,LD-CE,0.9365079365079365,1067.8
1743943423.4909534,5,,,,,,,,,,,,,,,1/4,5/2,,,,,,,,,,,4/5,9/10,,,,,,,,,,,,,2/5,13/8,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2857142857142857,,,,,,,,,,,0.5555555555555556,0.5263157894736842,,,,,,,,,,,,,0.7142857142857143,0.38095238095238093,,,,,,,,,,,0.5555555555555556,OE,0.2857142857142857,LD,0.8412698412698413,1188.67
1743943455.3597035,6,,,,,,,,,,,,,,,1/4,5/2,,,,,,,,,,,4/5,9/10,,,,,,,,,,,,,2/5,13/8,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2857142857142857,,,,,,,,,,,0.5555555555555556,0.5263157894736842,,,,,,,,,,,,,0.7142857142857143,0.38095238095238093,,,,,,,,,,,0.5555555555555556,OE,0.2857142857142857,LD,0.8412698412698413,1188.67
1743943486.898333,7,,,,,,,,,,,,,,,1/4,5/2,,,,,,,,,,,2/7,12/5,,,,,,,,,,,,,1/4,13/5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2857142857142857,,,,,,,,,,,0.7777777777777778,0.29411764705882354,,,,,,,,,,,,,0.8,0.2777777777777778,,,,,,,,,,,0.7777777777777778,OE,0.2777777777777778,CE,1.0555555555555556,947.37
1743943517.5081868,8,,,,,,,,,,,,,,,1/4,13/5,,,,,,,,,,,2/7,12/5,,,,,,,,,,,,,2/7,23/10,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2777777777777778,,,,,,,,,,,0.7777777777777778,0.29411764705882354,,,,,,,,,,,,,0.7777777777777778,0.30303030303030304,,,,,,,,,,,0.7777777777777778,OE-CE,0.2777777777777778,LD,1.0555555555555556,947.37
1743943549.358713,9,,,,,,,,,,,,,,,1/8,9/2,,,,,,,,,,,2/7,12/5,,,,,,,,,,,,,2/11,10/3,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,0.18181818181818182,,,,,,,,,,,0.7777777777777778,0.29411764705882354,,,,,,,,,,,,,0.8461538461538461,0.23076923076923078,,,,,,,,,,,0.7777777777777778,OE,0.18181818181818182,LD,0.9595959595959596,1042.09
1743943579.2381198,10,,,,,,,,,,,,,,,1/8,9/2,,,,,,,,,,,2/7,12/5,,,,,,,,,,,,,1/9,9/2,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,0.18181818181818182,,,,,,,,,,,0.7777777777777778,0.29411764705882354,,,,,,,,,,,,,0.9,0.18181818181818182,,,,,,,,,,,0.7777777777777778,OE,0.18181818181818182,LD-CE,0.9595959595959596,1042.09
1743943610.471299,11,,,,,,,,,,,,,,,1/8,9/2,,,,,,,,,,,2/7,12/5,,,,,,,,,,,,,1/9,9/2,,,,,,,,,,,,,,,,,,,,,,,,,0.8888888888888888,0.18181818181818182,,,,,,,,,,,0.7777777777777778,0.29411764705882354,,,,,,,,,,,,,0.9,0.18181818181818182,,,,,,,,,,,0.7777777777777778,OE,0.18181818181818182,LD-CE,0.9595959595959596,1042.09
1743943642.0547173,12,,,,,,,,,,,,,,,1/16,13/2,,,,,,,,,,,1/25,7,,,,,,,,,,,,,2/11,10/3,,,,,,,,,,,,,,,,,,,,,,,,,0.9411764705882353,0.13333333333333333,,,,,,,,,,,0.9615384615384616,7.0,,,,,,,,,,,,,0.8461538461538461,0.23076923076923078,,,,,,,,,,,0.8461538461538461,CE,0.13333333333333333,LD,0.9794871794871794,1020.94
1743943724.6225808,13,,,,,,,,,,,,,,,1/33,11,,,,,,,,,,,1/25,7,,,,,,,,,,,,,1/33,10,,,,,,,,,,,,,,,,,,,,,,,,,0.9705882352941176,11.0,,,,,,,,,,,0.9615384615384616,7.0,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,OE,7.0,OE,7.961538461538462,125.6
1743943755.16641,14,,,,,,,,,,,,,,,1/33,11,,,,,,,,,,,1/25,7,,,,,,,,,,,,,1/33,10,,,,,,,,,,,,,,,,,,,,,,,,,0.9705882352941176,11.0,,,,,,,,,,,0.9615384615384616,7.0,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,OE,7.0,OE,7.961538461538462,125.6
1743943785.379099,15,,,,,,,,,,,,,,,1/33,10,,,,,,,,,,,1/25,7,,,,,,,,,,,,,1/33,10,,,,,,,,,,,,,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,7.0,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,OE,7.0,OE,7.961538461538462,125.6
1743943817.607943,16,,,,,,,,,,,,,,,1/33,10,,,,,,,,,,,1/25,7,,,,,,,,,,,,,1/33,10,,,,,,,,,,,,,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,7.0,,,,,,,,,,,,,0.9705882352941176,10.0,,,,,,,,,,,0.9615384615384616,OE,7.0,OE,7.961538461538462,125.6
1743943848.9207592,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743943879.387668,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743943911.602839,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743943941.3987706,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743943970.8864262,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944004.273222,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944036.1193154,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944065.948569,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944095.9535775,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944125.9777856,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944157.3648386,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944187.9817474,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944219.9620178,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944249.8161478,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944279.9651418,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944382.8937976,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944412.6905584,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743944443.1638584,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
