timestamp,B3 - Michal Regner,B3 - Jiri Zuzanek,SK - Michal Regner,SK - Jiri Zuzanek,PP - Michal Regner,PP - Jiri Zuzanek,WH - Michal Regner,WH - Jiri Zuzanek,EE - Michal Regner,EE - Jiri Zuzanek,FB - Michal Regner,FB - Jiri Zuzanek,VC - Michal Regner,VC - Jiri Zuzanek,LD - Michal Regner,LD - Jiri Zuzanek,UN - Michal Regner,UN - Jiri Zuzanek,SX - Michal Regner,SX - Jiri Zuzanek,FR - Michal Regner,FR - Jiri Zuzanek,KN - Michal Regner,KN - Jiri Zuzanek,BY - Michal Regner,BY - Jiri Zuzanek,OE - Michal Regner,OE - Jiri Zuzanek,S6 - Michal Regner,S6 - Jiri Zuzanek,PUP - Michal Regner,PUP - Jiri Zuzanek,SI - Michal Regner,SI - Jiri Zuzanek,LS - Michal Regner,LS - Jiri Zuzanek,QN - Michal Regner,QN - Jiri Zuzanek,WA - Michal Regner,WA - Jiri Zuzanek,CE - Michal Regner,CE - Jiri Zuzanek,N4 - Michal Regner,N4 - Jiri Zuzanek,G5 - Michal Regner,G5 - Jiri Zuzanek,VT - Michal Regner,VT - Jiri Zuzanek,AKB - Michal Regner,AKB - Jiri Zuzanek,BF - Michal Regner,BF - Jiri Zuzanek,B3 - Michal Regner (decimal),B3 - Jiri Zuzanek (decimal),SK - Michal Regner (decimal),SK - Jiri Zuzanek (decimal),PP - Michal Regner (decimal),PP - Jiri Zuzanek (decimal),WH - Michal Regner (decimal),WH - Jiri Zuzanek (decimal),EE - Michal Regner (decimal),EE - Jiri Zuzanek (decimal),FB - Michal Regner (decimal),FB - Jiri Zuzanek (decimal),VC - Michal Regner (decimal),VC - Jiri Zuzanek (decimal),LD - Michal Regner (decimal),LD - Jiri Zuzanek (decimal),UN - Michal Regner (decimal),UN - Jiri Zuzanek (decimal),SX - Michal Regner (decimal),SX - Jiri Zuzanek (decimal),FR - Michal Regner (decimal),FR - Jiri Zuzanek (decimal),KN - Michal Regner (decimal),KN - Jiri Zuzanek (decimal),BY - Michal Regner (decimal),BY - Jiri Zuzanek (decimal),OE - Michal Regner (decimal),OE - Jiri Zuzanek (decimal),S6 - Michal Regner (decimal),S6 - Jiri Zuzanek (decimal),PUP - Michal Regner (decimal),PUP - Jiri Zuzanek (decimal),SI - Michal Regner (decimal),SI - Jiri Zuzanek (decimal),LS - Michal Regner (decimal),LS - Jiri Zuzanek (decimal),QN - Michal Regner (decimal),QN - Jiri Zuzanek (decimal),WA - Michal Regner (decimal),WA - Jiri Zuzanek (decimal),CE - Michal Regner (decimal),CE - Jiri Zuzanek (decimal),N4 - Michal Regner (decimal),N4 - Jiri Zuzanek (decimal),G5 - Michal Regner (decimal),G5 - Jiri Zuzanek (decimal),VT - Michal Regner (decimal),VT - Jiri Zuzanek (decimal),AKB - Michal Regner (decimal),AKB - Jiri Zuzanek (decimal),BF - Michal Regner (decimal),BF - Jiri Zuzanek (decimal),Michal Regner (best odds),Michal Regner (best providers),Jiri Zuzanek (best odds),Jiri Zuzanek (best providers),total_probability,minimum_return_1000_GBP
1744497747.472152,,,1/7,4,,,1/9,5,1/8,9/2,,,,,1/10,5,1/9,19/4,,,,,2/13,18/5,1/8,9/2,1/20,7,,,,,,,2/13,18/5,,,,,1/10,5,,,2/15,4,,,,,,,None,None,0.875,4,None,None,0.9,5,0.8888888888888888,0.18181818181818182,None,None,None,None,0.9090909090909091,5,0.9,0.17391304347826086,None,None,None,None,0.8666666666666667,0.21739130434782608,0.8888888888888888,0.18181818181818182,0.9523809523809523,7,None,None,None,None,None,None,0.8666666666666667,0.21739130434782608,None,None,None,None,0.9090909090909091,5,None,None,0.8823529411764706,4,None,None,None,None,None,None,0.8666666666666667,KN-LS,0.17391304347826086,UN,1.0405797101449274,960.9975
1744497919.3730316,,,1/6,7/2,,,1/4,11/4,2/13,15/4,,,,,2/9,29/10,2/9,14/5,,,,,2/13,18/5,1/4,11/4,1/6,7/2,,,,,,,1/6,10/3,,,,,2/13,18/5,,,2/11,10/3,,,,,,,None,None,0.8571428571428571,0.2222222222222222,None,None,0.8,0.26666666666666666,0.8666666666666667,0.21052631578947367,None,None,None,None,0.8181818181818182,0.2564102564102564,0.8181818181818182,0.2631578947368421,None,None,None,None,0.8666666666666667,0.21739130434782608,0.8,0.26666666666666666,0.8571428571428571,0.2222222222222222,None,None,None,None,None,None,0.8571428571428571,0.23076923076923078,None,None,None,None,0.8666666666666667,0.21739130434782608,None,None,0.8461538461538461,0.23076923076923078,None,None,None,None,None,None,0.8,WH-BY,0.21052631578947367,EE,1.0105263157894737,989.5675000000001
1744497976.6562233,,,1/16,13/2,,,1/16,7,1/16,7,,,,,1/16,7,2/9,14/5,,,,,1/6,17/5,1/16,13/2,1/14,6,,,,,,,1/20,13/2,,,,,1/16,7,,,1/16,13/2,,,,,,,None,None,0.9411764705882353,0.13333333333333333,None,None,0.9411764705882353,7,0.9411764705882353,7,None,None,None,None,0.9411764705882353,7,0.8181818181818182,0.2631578947368421,None,None,None,None,0.8571428571428571,0.22727272727272727,0.9411764705882353,0.13333333333333333,0.9333333333333333,6,None,None,None,None,None,None,0.9523809523809523,0.13333333333333333,None,None,None,None,0.9411764705882353,7,None,None,0.9411764705882353,0.13333333333333333,None,None,None,None,None,None,0.8181818181818182,UN,0.13333333333333333,SK-BY-LS-G5,0.9515151515151515,1050.9522222222222
1744498023.8203716,,,1/9,5,,,1/16,7,1/16,7,,,,,1/16,7,1/16,15/2,,,,,1/6,17/5,1/8,5,1/14,6,,,,,,,1/18,13/2,,,,,1/16,7,,,1/16,13/2,,,,,,,None,None,0.9,5,None,None,0.9411764705882353,7,0.9411764705882353,7,None,None,None,None,0.9411764705882353,7,0.9411764705882353,0.11764705882352941,None,None,None,None,0.8571428571428571,0.22727272727272727,0.8888888888888888,5,0.9333333333333333,6,None,None,None,None,None,None,0.9473684210526315,0.13333333333333333,None,None,None,None,0.9411764705882353,7,None,None,0.9411764705882353,0.13333333333333333,None,None,None,None,None,None,0.8571428571428571,KN,0.11764705882352941,UN,0.9747899159663865,1025.8616666666667
1744498058.0265136,,,1/33,8,,,1/16,7,1/33,10,,,,,1/16,7,1/16,15/2,,,,,1/6,17/5,1/16,13/2,1/14,6,,,,,,,1/25,7,,,,,1/16,7,,,1/50,17/2,,,,,,,None,None,0.9705882352941176,8,None,None,0.9411764705882353,7,0.9705882352941176,10,None,None,None,None,0.9411764705882353,7,0.9411764705882353,0.11764705882352941,None,None,None,None,0.8571428571428571,0.22727272727272727,0.9411764705882353,0.13333333333333333,0.9333333333333333,6,None,None,None,None,None,None,0.9615384615384616,7,None,None,None,None,0.9411764705882353,7,None,None,0.9803921568627451,0.10526315789473684,None,None,None,None,None,None,0.8571428571428571,KN,0.10526315789473684,G5,0.9624060150375939,1039.0566666666668
1744498112.6912093,,,1/20,7,,,1/20,8,1/20,8,,,,,1/20,15/2,1/18,8,,,,,1/25,15/2,1/11,5,1/14,6,,,,,,,1/25,15/2,,,,,1/20,8,,,1/20,7,,,,,,,None,None,0.9523809523809523,7,None,None,0.9523809523809523,8,0.9523809523809523,8,None,None,None,None,0.9523809523809523,0.11764705882352941,0.9473684210526315,8,None,None,None,None,0.9615384615384616,0.11764705882352941,0.9166666666666666,5,0.9333333333333333,6,None,None,None,None,None,None,0.9615384615384616,0.11764705882352941,None,None,None,None,0.9523809523809523,8,None,None,0.9523809523809523,7,None,None,None,None,None,None,0.9166666666666666,BY,0.11764705882352941,LD-KN-LS,1.034313725490196,966.79
1744498283.4416916,,,1/10,11/2,,,1/6,7/2,1/6,7/2,,,,,1/6,17/5,21/50,33/20,,,,,1/25,15/2,2/11,7/2,1/16,6,,,,,,,1/5,29/10,,,,,1/6,17/5,,,1/16,6,,,,,,,None,None,0.9090909090909091,0.15384615384615385,None,None,0.8571428571428571,0.2222222222222222,0.8571428571428571,0.2222222222222222,None,None,None,None,0.8571428571428571,0.22727272727272727,0.704225352112676,0.37735849056603776,None,None,None,None,0.9615384615384616,0.11764705882352941,0.8461538461538461,0.2222222222222222,0.9411764705882353,6,None,None,None,None,None,None,0.8333333333333334,0.2564102564102564,None,None,None,None,0.8571428571428571,0.22727272727272727,None,None,0.9411764705882353,6,None,None,None,None,None,None,0.704225352112676,UN,0.11764705882352941,KN,0.8218724109362054,1216.727
1744498352.6464643,,,1/10,11/2,,,1/6,7/2,4/6,11/10,,,,,1/6,17/5,21/50,33/20,,,,,1/25,7,2/11,17/5,1/16,6,,,,,,,4/6,26/25,,,,,1/6,17/5,,,5/14,49/25,,,,,,,None,None,0.9090909090909091,0.15384615384615385,None,None,0.8571428571428571,0.2222222222222222,0.6,0.47619047619047616,None,None,None,None,0.8571428571428571,0.22727272727272727,0.704225352112676,0.37735849056603776,None,None,None,None,0.9615384615384616,7,0.8461538461538461,0.22727272727272727,0.9411764705882353,6,None,None,None,None,None,None,0.6,0.49019607843137253,None,None,None,None,0.8571428571428571,0.22727272727272727,None,None,0.7368421052631579,0.33783783783783783,None,None,None,None,None,None,0.6,EE-LS,0.15384615384615385,SK,0.7538461538461538,1326.52
1744498682.0609217,,20,,14,20,,,13/2,13,,,31/20,12,11/2,,,,40,,,12,,9,,,
1744498724.418618,,20,,14,20,,,13/2,13,,,31/20,12,11/2,,,,40,,,12,,9,,,